timestamp,src_ip,dst_ip,packet_len,protocol,src_port,dst_port,flags
2025-06-22T01:41:41.071493,20.42.73.28,192.168.1.86,153,6,443,49265,PA
2025-06-22T01:41:41.073797,192.168.1.86,20.42.73.28,491,6,49265,443,PA
2025-06-22T01:41:41.508887,20.42.73.28,192.168.1.86,1494,6,443,49265,A
2025-06-22T01:41:41.510330,20.42.73.28,192.168.1.86,1494,6,443,49265,A
2025-06-22T01:41:41.511563,20.42.73.28,192.168.1.86,1494,6,443,49265,A
2025-06-22T01:41:41.512539,20.42.73.28,192.168.1.86,269,6,443,49265,PA
2025-06-22T01:41:41.513832,192.168.1.86,20.42.73.28,54,6,49265,443,A
2025-06-22T01:41:41.514912,192.168.1.86,20.42.73.28,1494,6,49265,443,A
2025-06-22T01:41:41.515972,192.168.1.86,20.42.73.28,564,6,49265,443,PA
2025-06-22T01:41:41.768953,192.168.1.86,192.168.1.107,66,6,49263,8009,S
2025-06-22T01:41:41.977910,20.42.73.28,192.168.1.86,54,6,443,49265,A
2025-06-22T01:41:41.979447,20.42.73.28,192.168.1.86,157,6,443,49265,PA
2025-06-22T01:41:42.029459,20.42.73.28,192.168.1.86,519,6,443,49265,FPA
2025-06-22T01:41:42.030500,192.168.1.86,20.42.73.28,54,6,49265,443,A
2025-06-22T01:41:42.031438,192.168.1.86,20.42.73.28,78,6,49265,443,PA
2025-06-22T01:41:42.032269,192.168.1.86,20.42.73.28,54,6,49265,443,FA
2025-06-22T01:41:42.414320,34.120.52.64,192.168.1.86,85,6,443,64906,PA
2025-06-22T01:41:42.416187,192.168.1.86,34.120.52.64,85,6,64906,443,PA
2025-06-22T01:41:42.417327,20.42.73.28,192.168.1.86,54,6,443,49265,A
2025-06-22T01:41:42.429502,34.120.52.64,192.168.1.86,58,6,443,64906,A
2025-06-22T01:41:42.574520,192.168.1.86,192.168.1.107,66,6,49264,8009,S
2025-06-22T01:41:44.491294,192.168.1.86,192.168.1.107,54,6,49245,8009,RA
2025-06-22T01:41:44.504738,35.174.127.31,192.168.1.86,78,6,443,65195,PA
2025-06-22T01:41:44.506079,192.168.1.86,35.174.127.31,82,6,65195,443,PA
2025-06-22T01:41:44.872848,35.174.127.31,192.168.1.86,54,6,443,65195,A
2025-06-22T01:41:45.675708,192.168.1.38,224.0.0.251,136,17,5353,5353,
2025-06-22T01:41:46.305078,192.168.1.107,239.255.255.250,344,17,33127,1900,
2025-06-22T01:41:46.306835,192.168.1.107,239.255.255.250,356,17,33127,1900,
2025-06-22T01:41:46.510495,192.168.1.107,192.168.1.86,164,6,8009,49244,PA
2025-06-22T01:41:46.511668,192.168.1.107,192.168.1.86,164,6,8009,49245,PA
2025-06-22T01:41:46.512465,192.168.1.86,192.168.1.107,54,6,49244,8009,RA
2025-06-22T01:41:46.769123,192.168.1.107,192.168.1.86,164,6,8009,49245,PA
2025-06-22T01:41:46.770241,192.168.1.107,192.168.1.86,164,6,8009,49244,PA
2025-06-22T01:41:46.771195,192.168.1.107,192.168.1.86,54,6,8009,49244,A
2025-06-22T01:41:46.781814,192.168.1.107,192.168.1.86,164,6,8009,49245,PA
2025-06-22T01:41:46.975191,192.168.1.107,192.168.1.86,164,6,8009,49244,PA
2025-06-22T01:41:47.362966,192.168.1.107,192.168.1.86,164,6,8009,49245,PA
2025-06-22T01:41:47.630609,192.168.1.38,224.0.0.251,152,17,5353,5353,
2025-06-22T01:41:47.726340,192.168.1.107,224.0.0.251,438,17,5353,5353,
2025-06-22T01:41:47.774350,192.168.1.107,192.168.1.86,164,6,8009,49244,PA
2025-06-22T01:41:48.418804,192.168.1.107,192.168.1.86,164,6,8009,49245,PA
2025-06-22T01:41:48.438270,192.168.1.86,52.187.79.109,55,6,64941,443,A
2025-06-22T01:41:48.515408,52.187.79.109,192.168.1.86,66,6,443,64941,A
2025-06-22T01:41:49.302827,192.168.1.107,192.168.1.86,164,6,8009,49244,PA
2025-06-22T01:41:49.599758,192.168.1.107,239.255.255.250,290,17,57318,1900,
2025-06-22T01:41:49.601470,192.168.1.107,239.255.255.250,279,17,57318,1900,
2025-06-22T01:41:50.588086,192.168.1.107,192.168.1.86,164,6,8009,49245,PA
2025-06-22T01:41:51.231616,192.168.1.86,35.174.127.31,294,6,65195,443,PA
2025-06-22T01:41:51.768993,192.168.1.86,192.168.1.1,74,17,56309,53,
2025-06-22T01:41:51.770164,192.168.1.86,192.168.1.1,74,17,55216,53,
2025-06-22T01:41:51.784689,192.168.1.86,35.174.127.31,294,6,65195,443,PA
2025-06-22T01:41:51.884727,35.174.127.31,192.168.1.86,54,6,443,65195,A
2025-06-22T01:41:51.886346,35.174.127.31,192.168.1.86,317,6,443,65195,PA
2025-06-22T01:41:51.891655,192.168.1.1,192.168.1.86,130,17,53,56309,
2025-06-22T01:41:51.893651,192.168.1.1,192.168.1.86,106,17,53,55216,
2025-06-22T01:41:51.934934,192.168.1.86,35.174.127.31,54,6,65195,443,A
2025-06-22T01:41:52.947443,192.168.1.107,239.255.255.250,279,17,53292,1900,
2025-06-22T01:41:52.949696,192.168.1.107,239.255.255.250,346,17,53292,1900,
